transaction_id,customer_id,merchant_id,device_id,ip_id,payment_instrument_id,amount,timestamp,location,payment_method,account_age_days,customer_avg_amount,fraud_label,fraud_pattern,merchant_category
txn_f122d41303,cust_6ef71914fa,merch_4fce905382,dev_d0863b367e,ip_2233fcc1bb,pmt_3974130346,148.60,2025-12-31T18:31:17+00:00,Chandigarh,card,133,100.00,0,,utilities
txn_2929b3c2b9,cust_67957612ba,merch_993b9e2f43,dev_bf6eaaa640,ip_383622bc3f,pmt_027a31d703,379.35,2025-12-31T18:32:56+00:00,Jaipur,upi,1127,381.50,0,,utilities
txn_f88249be4a,cust_a1eb5db468,merch_eb9d5ebaf4,dev_e39c67b8d9,ip_60fe5fbfcb,pmt_1f50d7c5d0,897.88,2025-12-31T18:36:12+00:00,Pune,upi,1934,834.47,0,,electronics
txn_aaa70904ba,cust_fa05a06268,merch_9bfdc3e901,dev_10c3ef816f,ip_ba907ee3c2,pmt_93a102c9db,205.89,2025-12-31T18:42:54+00:00,Delhi,netbanking,29,211.70,0,,grocery
txn_31a65beaca,cust_119e222158,merch_76949dba68,dev_1d0c25bc98,ip_b7505c5fc6,pmt_ed072329f0,685.51,2025-12-31T18:46:59+00:00,Hyderabad,wallet,111,774.40,0,,entertainment
txn_f7c15d1a22,cust_e57d723bca,merch_b2b5b5932b,dev_4bae048b22,ip_6ff47a6956,pmt_a305d56a79,1434.94,2025-12-31T18:50:04+00:00,Chennai,upi,176,708.64,0,,travel
txn_85ed23221c,cust_24028c07c5,merch_08cb85e737,dev_ce31bc804b,ip_c247da6f67,pmt_d4eddef94a,900.49,2025-12-31T18:58:52+00:00,Kolkata,wallet,23,687.15,0,,electronics
txn_a14c2fb786,cust_99536a5a6a,merch_6b13b81417,dev_5de2452f66,ip_4146982181,pmt_869554439f,1518.13,2025-12-31T19:23:51+00:00,Mumbai,upi,16,1335.41,0,,jewelry
txn_e3bfefab2a,cust_dadd161ec4,merch_f82df4effe,dev_c5215b5f11,ip_52d1d236e9,pmt_7da646c08c,360.54,2025-12-31T19:35:05+00:00,Hyderabad,upi,147,770.63,0,,entertainment
txn_1e6fd0a384,cust_595e17f726,merch_5d7550a442,dev_84eda80ca5,ip_8f3b80f642,pmt_b5f5277ad8,552.10,2025-12-31T19:36:03+00:00,Kochi,wallet,146,703.75,0,,utilities
txn_c2edaf6ba1,cust_42f5a10d6f,merch_b588adf2cf,dev_8cfc5a6cd9,ip_f22cdf3698,pmt_8c2e269b1c,680.30,2025-12-31T19:41:26+00:00,Kolkata,netbanking,252,795.96,0,,fashion
