transaction_id,customer_id,merchant_id,device_id,ip_id,payment_instrument_id,amount,timestamp,location,payment_method,account_age_days,customer_avg_amount,fraud_label,fraud_pattern,merchant_category
txn_f122d41303,cust_6ef71914fa,merch_4fce905382,dev_d0863b367e,ip_2233fcc1bb,pmt_3974130346,148.6,2026-01-01 00:01:17,Chandigarh,card,133,100.0,0,none,utilities
txn_2929b3c2b9,cust_67957612ba,merch_993b9e2f43,dev_bf6eaaa640,ip_383622bc3f,pmt_027a31d703,379.35,2026-01-01 00:02:56,Jaipur,upi,1127,381.5,0,none,utilities
txn_f88249be4a,cust_a1eb5db468,merch_eb9d5ebaf4,dev_e39c67b8d9,ip_60fe5fbfcb,pmt_1f50d7c5d0,897.88,2026-01-01 00:06:12,Pune,upi,1934,834.47,0,none,electronics
txn_aaa70904ba,cust_fa05a06268,merch_9bfdc3e901,dev_10c3ef816f,ip_ba907ee3c2,pmt_93a102c9db,205.89,2026-01-01 00:12:54,Delhi,netbanking,29,211.7,0,none,grocery
txn_31a65beaca,cust_119e222158,merch_76949dba68,dev_1d0c25bc98,ip_b7505c5fc6,pmt_ed072329f0,685.51,2026-01-01 00:16:59,Hyderabad,wallet,111,774.4,0,none,entertainment
txn_f7c15d1a22,cust_e57d723bca,merch_b2b5b5932b,dev_4bae048b22,ip_6ff47a6956,pmt_a305d56a79,1434.94,2026-01-01 00:20:04,Chennai,upi,176,708.64,0,none,travel
txn_85ed23221c,cust_24028c07c5,merch_08cb85e737,dev_ce31bc804b,ip_c247da6f67,pmt_d4eddef94a,900.49,2026-01-01 00:28:52,Kolkata,wallet,23,687.15,0,none,electronics
txn_a14c2fb786,cust_99536a5a6a,merch_6b13b81417,dev_5de2452f66,ip_4146982181,pmt_869554439f,1518.13,2026-01-01 00:53:51,Mumbai,upi,16,1335.41,0,none,jewelry
txn_e3bfefab2a,cust_dadd161ec4,merch_f82df4effe,dev_c5215b5f11,ip_52d1d236e9,pmt_7da646c08c,360.54,2026-01-01 01:05:05,Hyderabad,upi,147,770.63,0,none,entertainment
txn_1e6fd0a384,cust_595e17f726,merch_5d7550a442,dev_84eda80ca5,ip_8f3b80f642,pmt_b5f5277ad8,552.1,2026-01-01 01:06:03,Kochi,wallet,146,703.75,0,none,utilities
txn_c2edaf6ba1,cust_42f5a10d6f,merch_b588adf2cf,dev_8cfc5a6cd9,ip_f22cdf3698,pmt_8c2e269b1c,680.3,2026-01-01 01:11:26,Kolkata,netbanking,252,795.96,0,none,fashion
txn_b6d6d5bb67,cust_ef0f85a103,merch_4fce905382,dev_9feae5e115,ip_189597ce0d,pmt_06bb5548d0,263.17,2026-01-01 01:26:06,Delhi,netbanking,564,533.06,0,none,utilities
txn_d46de3fa56,cust_7567e0600e,merch_13c4d99849,dev_316e2d61ca,ip_775be29331,pmt_ff8cde0816,2250.38,2026-01-01 01:35:00,Kolkata,wallet,1061,1504.78,0,none,fashion
txn_8822e5d21d,cust_56a3b36aa4,merch_153644e3cb,dev_902ad8a084,ip_4c2d753b84,pmt_98207ee36d,137.58,2026-01-01 01:35:15,Kolkata,upi,220,176.18,0,none,travel
txn_59b412eddd,cust_da344d9344,merch_25dcc81629,dev_a5a617763b,ip_3470ca3827,pmt_6fa08bb15e,879.2,2026-01-01 01:48:44,Hyderabad,upi,112,757.66,0,none,electronics
txn_b4c8317185,cust_df205aa7de,merch_6836db54d7,dev_f4dabe07eb,ip_bb3e0cfc41,pmt_fbf8768819,1160.61,2026-01-01 02:20:58,Pune,netbanking,4,1188.76,0,none,fuel
txn_bfeadf5e54,cust_a48927effc,merch_a4649a3467,dev_2a77f0d089,ip_f390b525d5,pmt_908b2fedc1,634.79,2026-01-01 02:28:13,Kochi,wallet,105,684.61,0,none,fuel
txn_04bd135aa7,cust_d885a3a08c,merch_50552bde41,dev_fc95f08d35,ip_776c6bb56f,pmt_e35a65fbd3,957.39,2026-01-01 02:33:25,Chennai,netbanking,578,474.91,0,none,food_delivery
txn_e52b3dd441,cust_3df98002bc,merch_72bd418f58,dev_7758e5d67e,ip_7c86918abe,pmt_81442d1424,2615.95,2026-01-01 02:35:24,Kochi,upi,174,1149.97,0,none,electronics
txn_a75c271571,cust_5ab7b9e9e3,merch_d651e12a02,dev_0203d8822f,ip_6e16137b93,pmt_2b3747687f,6817.81,2026-01-01 02:59:52,Jaipur,upi,169,1246.97,1,account_takeover,fashion
txn_6a5ab939e5,cust_0dee048257,merch_c22268fdce,dev_7e49a7c4f1,ip_ba97a98843,pmt_c2f407a8f3,1357.88,2026-01-01 03:02:34,Hyderabad,upi,287,1156.97,0,none,utilities
txn_e2c02ac10d,cust_a57824a173,merch_6f6cfb25aa,dev_e414efbb56,ip_afc5636fbb,pmt_e852b76055,1014.79,2026-01-01 03:10:47,Kolkata,card,31,968.17,0,none,entertainment
txn_28d5a71223,cust_79bc6f1092,merch_29b7c55611,dev_c604ad4547,ip_342cb3c9bc,pmt_83edfdb4c1,8000.0,2026-01-01 03:14:43,Ahmedabad,upi,0,396.09,1,first_time_high_value,fuel
txn_2cb6d6b52c,cust_bb056b82a6,merch_d651e12a02,dev_dc0a5868ae,ip_3ea3ebf3f1,pmt_082ecf92ba,756.18,2026-01-01 03:28:57,Kochi,netbanking,107,781.04,0,none,fashion
txn_f1aa5046d5,cust_ad754c4df8,merch_8d74118aac,dev_694379ea6b,ip_20be08f884,pmt_7e2106cea9,475.6,2026-01-01 03:30:33,Chandigarh,card,748,546.47,0,none,travel
txn_df7db2b0a4,cust_70e80b3146,merch_50552bde41,dev_f1a3fbb932,ip_aa6cb91260,pmt_97ac4e90fb,3320.57,2026-01-01 03:38:12,Delhi,netbanking,754,2009.08,0,none,food_delivery
txn_899ec1a297,cust_9c44cd8eaf,merch_149267c045,dev_6b8d058822,ip_252ed12a1e,pmt_9792c2beff,1784.88,2026-01-01 03:44:26,Chandigarh,wallet,429,1641.55,0,none,travel
txn_219821e531,cust_6a25c889c6,merch_86cc286a56,dev_e18bb4b62a,ip_e914b9318e,pmt_767d2aed1f,188.29,2026-01-01 03:50:38,Ahmedabad,wallet,209,268.96,0,none,fashion
txn_2b74d4f472,cust_7532180f06,merch_48ebb81d43,dev_1563ad7645,ip_08d484f93a,pmt_3491b7a27b,144.33,2026-01-01 03:55:28,Delhi,netbanking,940,209.93,0,none,pharmacy
txn_a55fe2b93b,cust_e2ba4530be,merch_3c23fe8cfe,dev_909c87bd52,ip_22d791b280,pmt_88479d2998,471.88,2026-01-01 04:00:15,Kolkata,card,1817,462.76,0,none,fashion
txn_4a83b0307f,cust_6fc26bc538,merch_3b8ab97346,dev_3cf84269d4,ip_0d2c7c6f82,pmt_771c50d69a,2796.79,2026-01-01 04:22:32,Delhi,netbanking,202,1806.04,0,none,entertainment
txn_6fe3a2de98,cust_9d80bbda38,merch_3195323114,dev_f632c48d96,ip_383965e16a,pmt_a45611440e,1936.63,2026-01-01 04:28:54,Bengaluru,wallet,694,1711.49,0,none,grocery
txn_56ef4ae964,cust_7030edbbe7,merch_966aed08f2,dev_23cf2a663d,ip_033f7ff40d,pmt_0bcc3b4cf5,1136.97,2026-01-01 04:37:18,Delhi,card,175,1258.73,0,none,grocery
txn_29a6b8a6d3,cust_634823b4de,merch_09a38eb2da,dev_fa91a9a3e3,ip_eaaac560c9,pmt_e7d11de0ab,544.02,2026-01-01 04:51:43,Chandigarh,upi,420,431.05,0,none,travel
